county,pop2011
alachua,249365.00
baker,27154.00
bay,169856.00
bradford,28255.00
brevard,543566.00
broward,1780172.00
calhoun,14750.00
charlotte,160511.00
citrus,140031.00
clay,192370.00
collier,328134.00
columbia,67485.00
desoto,34894.00
dixie,16486.00
duval,870709.00
escambia,299114.00
flagler,97376.00
franklin,11596.00
gadsden,46151.00
gilchrist,17004.00
glades,12635.00
gulf,15844.00
hamilton,14671.00
hardee,27887.00
hendry,39089.00
hernando,173094.00
highlands,98630.00
hillsborough,1267775.00
holmes,19873.00
indianriver,138894.00
jackson,49292.00
jefferson,14658.00
lafayette,8942.00
lake,301019.00
lee,631330.00
leon,277971.00
levy,40156.00
liberty,8314.00
madison,19115.00
manatee,327142.00
marion,332529.00
martin,147495.00
miami,2554766.00
monroe,73873.00
nassau,74195.00
okaloosa,183482.00
okeechobee,40140.00
orange,1169107.00
osceola,276163.00
palmbeach,1335187.00
pasco,466457.00
pinellas,917398.00
polk,609492.00
putnam,74041.00
stjohns,195823.00
stlucie,280379.00
santarosa,154104.00
sarasota,382213.00
seminole,425071.00
sumter,97756.00
suwanee,41972.00
taylor,22691.00
union,15388.00
volusia,494804.00
wakulla,30978.00
walton,55793.00
washington,24935.00
region3exceptalachua,1965000.00
allcountiesexceptalachua,18808177.00
