"","County","Total","perPop","fluCasesYearly","outPatientVisits","hospitalizations","deaths","directCosts","indirectCosts","fluCasesYearlyWorst","outPatientVisitsWorst","hospitalizationsWorst","deathsWorst","directCostsWorst","indirectCostsWorst","fluCasesYearlyBest","outPatientVisitsBest","hospitalizationsBest","deathsBest","directCostsBest","indirectCostsBest"
"1","ALACHUA",248070,0.0130272047862729,27900,10100,107,34.1,2360000,9420000,35100,12700,135,43,2970000,11900000,2580,932,9.91,3.16,218000,873000
"2","BAKER",27055,0.00142077246540336,3040,1100,11.7,3.72,257000,1030000,3830,1380,14.7,4.69,324000,1300000,282,102,1.08,0.344,23800,95200
"3","BAY",170018,0.00892836418491772,19100,6900,73.4,23.4,1610000,6460000,24100,8690,92.5,29.5,2030000,8140000,1770,639,6.79,2.16,150000,598000
"4","BRADFORD",28641,0.00150406003258613,3220,1160,12.4,3.94,272000,1090000,4060,1460,15.6,4.96,343000,1370000,298,108,1.14,0.365,25200,101000
"5","BREVARD",547669,0.0287604152783217,61500,22200,236,75.3,5200000,20800000,77600,28000,298,94.9,6550000,26200000,5700,2060,21.9,6.97,482000,1930000
"6","BROWARD",1754756,0.0921496584106947,197000,71200,757,241,16700000,66700000,248000,89700,954,304,2.1e+07,8.4e+07,18300,6590,70.1,22.3,1540000,6170000
"7","CALHOUN",14777,0.000776002761828331,1660,600,6.38,2.03,140000,561000,2090,755,8.04,2.56,177000,707000,154,55.5,0.591,0.188,13000,52000
"8","CHARLOTTE",161110,0.00846056743304882,18100,6540,69.5,22.2,1530000,6120000,22800,8240,87.6,27.9,1930000,7710000,1680,605,6.44,2.05,142000,567000
"9","CITRUS",141454,0.00742834774796405,15900,5740,61,19.5,1340000,5370000,20000,7230,76.9,24.5,1690000,6770000,1470,531,5.65,1.8,124000,498000
"10","CLAY",192832,0.0101264238051621,21700,7820,83.2,26.5,1830000,7330000,27300,9860,105,33.4,2310000,9230000,2010,724,7.71,2.46,170000,678000
"11","COLLIER",327058,0.0171751987059654,36800,13300,141,45,3110000,12400000,46300,16700,178,56.7,3910000,15700000,3400,1230,13.1,4.16,288000,1150000
"12","COLUMBIA",67850,0.0035630904371694,7630,2750,29.3,9.33,644000,2580000,9610,3470,36.9,11.8,812000,3250000,706,255,2.71,0.864,59700,239000
"13","DADE",2534877,0.133117111246878,285000,103000,1090,349,24100000,96300000,359000,130000,1380,439,30300000,1.21e+08,26400,9520,101,32.3,2230000,8920000
"14","DESOTO",34641,0.00181914540654363,3890,1410,15,4.76,329000,1320000,4910,1770,18.8,6,415000,1660000,360,130,1.38,0.441,30500,122000
"15","DIXIE",16498,0.000866379749925141,1850,669,7.12,2.27,157000,627000,2340,843,8.97,2.86,197000,790000,172,62,0.659,0.21,14500,58000
"16","DUVAL",865865,0.0454702328869519,97300,35100,374,119,8220000,32900000,123000,44300,471,150,10400000,41400000,9010,3250,34.6,11,761000,3050000
