school,lat,long,totmem
A.Q. Jones,29.66,-82.34,75
Alachua,29.79,-82.49,377
Archer,29.52,-82.52,484
Buchholz,29.68,-82.4,2169
Chiles,30.57,-84.21,623
Duval,29.66,-82.3,310
Eastside,29.64,-82.27,1314
Finley,29.66,-82.35,548
Foster,29.69,-82.33,459
Ft. Clarke,29.67,-82.44,829
Gainesville High,29.67,-82.34,1927
Glen Springs,29.68,-82.36,438
Hawthorne,29.59,-82.09,311
Hidden Oak,29.67,-82.44,713
High Springs Community,29.83,-82.59,837
Horizon Center,29.66,-82.29,104
Howard Bishop,29.67,-82.31,685
Idywild,29.61,-82.35,644
Irby,29.78,-82.49,493
Kanapaha,29.61,-82.42,971
Lake Forest,29.65,-82.27,311
Lanier / Anchor,29.67,-82.33,138
Lincoln,29.64,-82.31,694
Littlewood,29.66,-82.37,599
Lofton,29.65,-82.33,231
Meadowbrook,29.69,-82.46,581
Mebane,29.81,-82.49,388
Metcalfe,29.67,-82.31,385
Newberry Elementary,29.64,-82.61,493
Newberry High,29.64,-82.62,587
Norton,29.7,-82.36,598
Oakview MS,29.64,-82.61,658
Rawlings,29.68,-82.31,377
Santa Fe,29.81,-82.52,1069
Shell,29.59,-82.09,200
Talbot,29.71,-82.39,686
Terwilliger,29.66,-82.41,692
Waldo,29.79,-82.17,216
Westwood,29.66,-82.37,998
Wiles,29.61,-82.42,728
Williams,29.65,-82.31,572
