school,lat,long,totmem
Alachua Learning Center Elementary,29.793814,-82.494423,162
Bhaktivedanta Academy,29.814836,-82.468099,NA
Bnai Israel Day,29.672414,-82.381193,47
Brentwood School,29.663054,-82.401396,175
Caring and Sharing Learning,29.633682,-82.315741,140
CCLC at Gainesville,,,NA
Chance Charter School,,,NA
Christian Life Academy,,,39
Compassionate Outreach Ministries,29.648611,-82.272778,173
Cornerstone Academy,29.683913,-82.372203,NA
Countryside Baptist Church,29.689822,-82.458645,NA
Desinty Christian Academy,29.791681,-82.496366,NA
DeSoto High School,,,NA
Eastside Baptist Church School,,,NA
Einstein Montessori School,29.607743,-82.406309,102
Expressions Academy,29.602876,-82.341584,89
Family Life Academy,29.531944,-82.525833,NA
First Christian Academy,29.838019,-82.604111,242
Flowers Montessori,29.680911,-82.368312,NA
Forest Grove Christian Academy,29.741426,-82.581353,28
Gainesville Country Day,29.636777,-82.422802,175
Genesis Prep School,29.673448,-82.327091,69
Healthy Learning Academy,29.654393,-82.486624,88
Hoggetowne Middle School,29.667528,-82.314583,114
Jordan Glen School,29.540792,-82.506462,115
Living Springs Academy,29.849171,-82.600199,NA
Love to Learn Educational Center,,,NA
Martin L. King Academy,,,NA
Micanopy Area Coop School,29.504722,-82.289722,146
Micanopy Middle School,29.509051,-82.286689,62
Millhopper Montessori,29.688333,-82.434444,217
Mycroschool Gainesville,,,302
Oak Hall Private School,29.638737,-82.427517,820
Oasis Enrichment Academy,,,NA
One Room School House Project,29.689814,-82.306813,262
Passage Christian Academy,29.650836,-82.263676,27
PK Yonge,29.640534,-82.333795,1142
Queen of Peace Catholic Academy,29.632249,-82.457752,441
SIA Tech at Gainesville,29.724947,-82.265447,216
Spencer House Montessori,29.788709,-82.493903,NA
St. Francis High School,,,242
St. Patrick Interparish School,,,242
Star Christian Academy,,,80
The Rock,,,300
Tower Road Kinder Care,,,NA
Trilogy School,,,76
Vaishnava Academy for Girls,,,NA
Westwood Hills Christian,,,NA
Windsor Christian Academy,,,NA
