county,lbw_births,live_births,white,black,other,total_pop,percent_poverty
Alachua,1773,19842,176334,50476,21260,248070,23.6
Baker,238,2695,22529,3883,643,27055,17
Bay,1361,16177,141029,19180,9809,170018,12.4
Bradford,243,2399,22045,5880,716,28641,16
Brevard,3155,37558,461296,58112,28261,547669,10.5
Broward,14543,157354,1160570,488581,105605,1754756,12.3
Calhoun,97,1154,12030,2122,625,14777,21.1
Charlotte,571,7776,146224,9877,5009,161110,10.5
Citrus,574,7506,132377,4376,4701,141454,14.4
Clay,1198,15727,160346,20228,12258,192832,8.5
Collier,1888,26967,294965,22534,9559,327058,12.2
Columbia,517,5967,53416,12168,2266,67850,15.6
DeSoto,237,3261,1965545,489307,80025,2534877,26.9
Dixie,89,1222,29175,4460,1006,34641,15.5
Duval,8837,92356,14756,1365,377,16498,14.2
Escambia,3032,29298,543447,258455,63963,865865,16.4
Flagler,462,5855,209002,70361,20902,300265,11.9
Franklin,68,850,81817,11852,4583,98252,25.6
Gadsden,595,5024,9674,1614,307,11595,27.6
Gilchrist,102,1340,21101,27151,1182,49434,20.1
Glades,57,603,15741,945,380,17066,19.6
Gulf,79,924,10399,1517,884,12800,19.5
Hamilton,138,1279,12420,2912,416,15748,21.4
Hardee,267,3436,9423,4921,418,14762,26.1
Hendry,394,4891,24484,2075,1017,27576,26.4
Hernando,847,10798,31492,5360,1685,38537,11.8
Highlands,578,7152,158832,9879,5867,174578,16.9
Hillsborough,10528,118758,85295,9978,3694,98967,14.2
Holmes,121,1545,949590,219014,82434,1251038,19.9
Indian River,670,9389,17935,1277,717,19929,12.6
Jackson,390,3973,122096,13400,4386,139882,19.7
Jefferson,121,1123,35105,13520,1525,50150,18.7
Lafayette,52,642,9074,5241,310,14625,18
Lake,1798,22861,7167,1291,161,8619,11
Lee,3910,47755,256112,31885,13837,301834,12
Leon,2095,22263,555841,56664,22991,635496,22
Levy,258,3194,176551,85529,15077,277157,21.6
Liberty,69,684,35695,4041,1181,40917,15.8
Madison,169,1712,6768,1506,256,8530,21
Manatee,1998,26457,11448,7530,396,19374,12.8
Marion,2036,24577,285966,30767,12833,329566,15.3
Martin,693,9003,279070,43287,12166,334523,10.4
Miami-Dade,20410,229970,133475,8462,5398,147335,17.2
Monroe,392,5163,65198,4608,2461,72267,10.8
Nassau,435,5490,67188,5134,2157,74479,9.3
Okaloosa,1495,18834,150539,17999,13924,182462,10.6
Okeechobee,370,4090,35142,3341,1382,39865,19.7
Orange,10306,112844,819703,254704,97483,1171890,13.4
Osceola,2224,26725,227058,35998,18106,281162,13.3
Palm Beach,9630,104848,1029743,238817,64528,1333088,12.2
Pasco,2906,35128,425090,24326,22074,471490,12.3
Pinellas,5363,63349,768783,98795,50483,918061,12.1
Polk,4582,54841,489906,94439,26270,610615,15.2
Putnam,696,7014,59361,12321,2147,73829,23.3
St. Johns,833,12324,177240,11747,8376,197363,11.3
St. Lucie,1894,22599,216167,55482,12305,283954,13.7
Santa Rosa,948,12573,138664,10011,9560,158235,11.3
Sarasota,1513,21165,352705,19087,11828,383620,10.5
Seminole,2559,32615,347165,50989,28727,426881,9.8
Sumter,326,3514,88661,9659,2082,100402,11.2
Suwannee,282,3547,37673,5480,1322,44475,17.3
Taylor,184,1863,17056,4716,734,22506,19.1
Union,104,1178,11641,3485,319,15445,21.3
Volusia,2926,35563,422971,54455,19406,496832,13.8
Wakulla,199,2190,25512,4621,961,31094,12.5
Walton,387,4520,50182,3549,2482,56213,14.6
Washington,168,1837,19931,3603,970,24504,19.3
