"","mosquito","site1","site2","site3","site4","site5","site6","code","nTraps","date","site7","site8","site9","site10"
"1","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2008-04-01,NA,NA,NA,NA
"2","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-04-01,NA,NA,NA,NA
"3","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-04-01,NA,NA,NA,NA
"4","Ochlerotatus atlanticus",192,86,98,156,21,186,9,6,2008-04-01,NA,NA,NA,NA
"5","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-04-01,NA,NA,NA,NA
"6","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-04-01,NA,NA,NA,NA
"7","O. infirmatus",224,112,121,238,36,362,7,6,2008-04-01,NA,NA,NA,NA
"8","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-04-01,NA,NA,NA,NA
"9","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-04-01,NA,NA,NA,NA
"10","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-04-01,NA,NA,NA,NA
"11","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-04-01,NA,NA,NA,NA
"12","Anopheles crucians",80,62,NA,NA,NA,92,34,6,2008-04-01,NA,NA,NA,NA
"13","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-04-01,NA,NA,NA,NA
"14","Culex  erraticus",54,NA,NA,38,NA,73,25,6,2008-04-01,NA,NA,NA,NA
"15","C. nigrapalpus",49,37,14,24,NA,63,42,6,2008-04-01,NA,NA,NA,NA
"16","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-04-01,NA,NA,NA,NA
"17","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-04-01,NA,NA,NA,NA
"18","C.  salinarius",58,60,28,46,12,82,23,6,2008-04-01,NA,NA,NA,NA
"19","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-04-01,NA,NA,NA,NA
"20","Culiseta  melanura",240,184,56,NA,15,153,41,6,2008-04-01,NA,NA,NA,NA
"21","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2008-04-01,NA,NA,NA,NA
"22","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-04-01,NA,NA,NA,NA
"23","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-04-01,NA,NA,NA,NA
"24","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-04-01,NA,NA,NA,NA
"25","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2008-04-01,NA,NA,NA,NA
"26","P. ferox",NA,NA,NA,15,3,48,52,6,2008-04-01,NA,NA,NA,NA
"27","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-04-01,NA,NA,NA,NA
"28","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-04-01,NA,NA,NA,NA
"29","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-04-01,NA,NA,NA,NA
"30","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-04-01,NA,NA,NA,NA
