4/20/2009,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,,,,,2
A. aegypti,,,,,,,3
A. vexans,,5,23,4,,,1
Ochlerotatus atlanticus,,1,11,13,,,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,10,10,150,87,,39,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,2,2,1,,,1,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,,1,3,,,5,25
C. nigrapalpus,13,6,12,2,,5,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,6,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,1,2,,,5,41
Coquillettidia  perturbans,,,2,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,,,,51
P. columbiae,,2,,,,,50
P. ferox,,,,2,,8,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
