8/6/2009,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,2,,,1,3,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,37,,14,21,15,39,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,18,,9,,10,25,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,28,13,24,,12,29,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,54,2,8,,5,37,25
C. nigrapalpus,39,19,17,,31,83,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,17,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,12,,,,,27,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,9,4,,,,19,51
P. columbiae,12,,,,,,50
P. ferox,10,13,7,20,,24,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
