8/13/2014,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,2,1,,,1,24,8,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,22,,,,2,14,,,,,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,15,11,2,1,,3,,120,72,8,34
A. quadrimaculatus,,,,,,,,,,,31
Culex  erraticus,,14,5,,,,7,,80,,25
C. nigripalpus,80,26,20,,14,82,31,80,328,12,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,,,,,,,,,,41
Coquillettidia  perturbans,8,,3,,,,5,272,40,27,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,10,20,,,,,4,312,152,5,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,,,,,,,72,,5,50
P. ferox,,,,,,4,,,,,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,12,10,3,,2,7,9,160,56,8,70
U.  lowii,,2,,,,,,16,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,,100
