7/4/2013,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,code
Aedes albopictus,,,,,,,,,4,2
A. aegypti,,,,,,,,,,3
A. vexans,,,,,1,,,,,1
Ochlerotatus atlanticus,38,,,,,,,3,,9
O. dupreei,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,8
O. infirmatus,2,2,1,,,800,,1,2,7
O.  mitchellae,,,,,,,,,,6
O. sollicitans,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,5
O.  triseriatus,,,1,,,,1,,,14
Anopheles crucians,19,1,1,,,96,,136,8,34
A. quadrimaculatus,,,,,,,,,,31
Culex  erraticus,17,6,2,,,40,5,25,13,25
C. nigripalpus,8,3,7,,1,136,3,54,243,42
C.  quinquefasciatus,,,,,,,,,,27
C. restuans,,,,,,,,,,21
C.  salinarius,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,40
Culiseta  melanura,3,,1,,,24,,11,9,41
Coquillettidia  perturbans,,,,,,,1,71,,60
Mansonia  titillans,,,,,,,,,,47
M. dyari,,,,,,,,26,1,48
Psorophora  ciliata,,,,,,3,,1,1,51
P. columbiae,12,,,1,,,,6,8,50
P. ferox,,1,,,1,112,1,,1,52
P. howardii,,,,,,2,,,1,54
Toxorhynchites rutilus,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,4,3,70
U.  lowii,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,
