7/17/2013,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,2,,3,,,,,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,1,8,,8,,,1
Ochlerotatus atlanticus,264,56,12,3,,176,,20,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,24,,,,,8
O. infirmatus,,,,,3,16,2,33,,23,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,4,1,2,,,,,,,14
Anopheles crucians,96,16,4,,,216,,65,4,28,34
A. quadrimaculatus,,56,2,,,,,,,1,31
Culex  erraticus,32,128,42,1,,200,6,8,,1,25
C. nigripalpus,441,8,19,,2,688,1,70,436,5,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,,,,,,,,,,41
Coquillettidia  perturbans,,,1,,,16,1,17,,2,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,,,,,,120,2,24,52,,48
Psorophora  ciliata,,,,,,,,5,,,51
P. columbiae,40,8,,,,72,,3,,,50
P. ferox,16,4,1,2,1,8,,5,,7,52
P. howardii,,,,,,16,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,4,2,,,,,,,,70
U.  lowii,,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,2,2,,,,,,,100
