7/29/2014,,,,,,,,,,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code,,,,,,,,,
Aedes albopictus,,,4,1,7,4,,,,1,2,,,,,,,,,
A. aegypti,,,,,,,,,,,3,,,,,,,,,
A. vexans,,,,,,,,,,,1,,,,,,,,,
Ochlerotatus atlanticus,,,,,,,,,,,9,,,,,,,,,
O. dupreei,,,,,,,,,,,18,,,,,,,,,
O. fulvus pallens,,,,,,20,,8,,,8,,,,,,,,,
O. infirmatus,8,,,5,,108,,,,,7,,,,,,,,,
O.  mitchellae,,,,,,,,,,,6,,,,,,,,,
O. sollicitans,,,,,,,,,,,15,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,,,5,,,,,,,,,
O.  triseriatus,,,,,,,,,,,14,,,,,,,,,
Anopheles crucians,12,,3,,,92,1,112,35,46,34,,,,,,,,,
A. quadrimaculatus,,,,,,,,,,,31,,,,,,,,,
Culex  erraticus,,6,,,,20,,,,,25,,,,,,,,,
C. nigripalpus,580,159,19,,,232,3,16,32,14,42,,,,,,,,,
C.  quinquefasciatus,,,,,,,,,,,27,,,,,,,,,
C. restuans,,,,,,,,,,,21,,,,,,,,,
C.  salinarius,,,,,,,,,,,23,,,,,,,,,
Culiseta  inornata,,,,,,,,,,,40,,,,,,,,,
Culiseta  melanura,,,,,,,1,,,,41,,,,,,,,,
Coquillettidia  perturbans,4,,,,2,,6,456,40,19,60,,,,,,,,,
Mansonia  titillans,,,,,,,,,,,47,,,,,,,,,
M. dyari,,,,,,,,352,42,3,48,,,,,,,,,
Psorophora  ciliata,,,,,,,,,,,51,,,,,,,,,
P. columbiae,,,2,,,8,,,,,50,,,,,,,,,
P. ferox,8,2,2,,1,24,,,,3,52,,,,,,,,,
P. howardii,,,,,,,,,,,54,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,,,88,,,,,,,,,
Uranotaenia  sapphirina,64,10,2,,1,28,3,32,20,28,70,,,,,,,,,
U.  lowii,,,4,,1,8,,,,5,71,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,,,,,80,,,,,,,,,
