6/3/2014,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,,,,,,,,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,,,,,1,,2,,,24,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,3,9,1,2,,1,2,416,32,100,34
A. quadrimaculatus,,,,,,,,,,,31
Culex  erraticus,20,12,10,1,4,,14,48,176,24,25
C. nigripalpus,76,63,40,2,7,,61,72,1040,48,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,2,,,,,,,48,8,41
Coquillettidia  perturbans,,4,,,3,,9,136,128,56,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,,,,,,,,24,,,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,,,,,,,,,,50
P. ferox,,,3,,,,,,,36,52
P. howardii,,,,,,,,,,4,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,,,,70
U.  lowii,,,,,,,,8,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,,100
