6/25/2013,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,code
Aedes albopictus,,1,,2,1,,1,,,2
A. aegypti,,,,,,,,,,3
A. vexans,,,,,1,,,1,,1
Ochlerotatus atlanticus,80,10,,,1,8,,5,86,9
O. dupreei,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,8
O. infirmatus,2,,,1,2,,,1,10,7
O.  mitchellae,,,,,,,,,,6
O. sollicitans,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,14
Anopheles crucians,27,16,2,,,6,,55,34,34
A. quadrimaculatus,,1,,,,,,,,31
Culex  erraticus,18,7,16,,,9,,6,20,25
C. nigripalpus,3,14,4,,1,31,,34,20,42
C.  quinquefasciatus,,,,,,,,,,27
C. restuans,,,,,,,,,,21
C.  salinarius,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,40
Culiseta  melanura,2,,,,,,,,4,41
Coquillettidia  perturbans,2,,,,,4,,25,,60
Mansonia  titillans,,,,,,,,,,47
M. dyari,3,2,1,,,4,,77,,48
Psorophora  ciliata,2,,,,,1,,,,51
P. columbiae,4,,,,,2,,2,2,50
P. ferox,,,,,,,,,52,52
P. howardii,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,88
Uranotaenia  sapphirina,,2,,,,,,,,70
U.  lowii,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,82
Other (Cx coronator),1,,,,,,1,,,
