5/12/2009,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,1,,,,2
A. aegypti,,,,,,,3
A. vexans,,,1,3,,4,1
Ochlerotatus atlanticus,7,2,,1,,18,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,28,3,18,24,3,19,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,,3,,1,,,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,1,,1,,,22,25
C. nigrapalpus,4,,2,,,,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,7,5,4,1,,2,41
Coquillettidia  perturbans,3,1,2,,,5,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,,,,51
P. columbiae,,,,,,,50
P. ferox,1,,,,,1,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
