5/13/2014,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,1,,,,,,,,,8,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,4,8,3,1,,8,,96,24,48,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,63,34,,,,33,2,1368,40,240,34
A. quadrimaculatus,,3,,,,2,,48,,,31
Culex  erraticus,10,16,1,,,5,3,24,16,24,25
C. nigripalpus,43,75,2,,2,18,8,48,72,56,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,7,,,,2,,,,40,41
Coquillettidia  perturbans,3,13,,,2,12,1,1032,184,104,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,,,,,,,,,,,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,3,,,,,,,,,50
P. ferox,,,,,,,,,,8,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,,,,70
U.  lowii,,,,1,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,,100
