11/4/2013,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,,,,,,,,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,1,,,,,,,,1
Ochlerotatus atlanticus,,,,,,1,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,,,,,,,,,3,,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,7,3,3,,,37,,11,6,19,34
A. quadrimaculatus,,5,,,1,4,,2,,,31
Culex  erraticus,,,,,,7,,1,,,25
C. nigripalpus,54,3,2,,2,23,4,16,13,16,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,14,,1,,,40,,,3,1,41
Coquillettidia  perturbans,,,,,,,,2,,2,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,6,4,1,,,15,2,45,16,18,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,,,,,1,,,,,50
P. ferox,,,,,,,,,,,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,2,,,,,,,,,70
U.  lowii,,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other*,,1,,,,,,,,1,
