10/22/2013,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,,,,,,,1,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,7,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,,,,,,,,,,,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,1,,,,14
Anopheles crucians,27,7,1,,1,25,,64,3,14,34
A. quadrimaculatus,2,1,,,,,,,,,31
Culex  erraticus,16,103,1,,,26,,48,30,5,25
C. nigripalpus,51,9,29,1,1,35,,32,13,26,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,,,,,6,,,,1,41
Coquillettidia  perturbans,1,1,,,,1,,80,,1,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,4,21,7,,5,31,,912,22,34,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,,,,,,,,,,50
P. ferox,,,,,,,,,,,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,1,,,,,,,,,,70
U.  lowii,,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,,100
