9/26/2012,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,code
Aedes albopictus,,,,,,,,,,2
A. aegypti,,,,,,,,,,3
A. vexans,,,,,,,,,,1
Ochlerotatus atlanticus,15,22,62,11,82,23,26,14,31,9
O. dupreei,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,8
O. infirmatus,44,72,2,16,1,13,34,,6,7
O.  mitchellae,,,,,,,,,,6
O. solicitans,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,14
Anopheles crucians,16,,22,2,72,11,,23,,34
A. quadrimaculatus,,,,,,,,,,31
Culex  erraticus,12,11,51,,41,12,16,,51,25
C. nigrapalpus,112,311,261,115,312,231,155,233,98,42
C.  quinquefasciatus,,,,,,,,,,27
C. restuans,,,,,,,,,,21
C.  salinarius,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,40
Culiseta  melanura,,,,,,,,,,41
Coquillettidia  perturbans,4,1,2,7,2,,6,,2,60
Mansonia  titillans,,,,,,,,,,47
M. dyari,,,,,,,,,,48
Psorophora  ciliata,,,,,,,,,,51
P. columbiae,,,,,,,,,,50
P. ferox,,,,,,,,,,52
P. howardii,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,,,70
U.  lowii,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,82
