code,name,wnv,slev,eeev,chik,malaria,dengue,yellow
1,A. vexans,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Aedes albopictus,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
3,A. aegypti,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5,O.  taeniorhynchus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,O.  mitchellae,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,O. infirmatus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,O. fulvus pallens,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Ochlerotatus atlanticus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,O.  triseriatus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,O. solicitans,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,O. dupreei,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,C. restuans,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,C.  salinarius,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Culex  erraticus,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27,C.  quinquefasciatus,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
31,A. quadrimaculatus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,Anopheles crucians,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
40,Culiseta  inornata,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,Culiseta  melanura,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
42,Culex nigrapalpus,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
47,Mansonia  titillans,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,M. dyari,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,P. columbiae,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,Psorophora  ciliata,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,P. ferox,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,P. howardii,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,Coquillettidia  perturbans,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,Uranotaenia  sapphirina,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,U.  lowii,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,Wyeomyia  mitchellii,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,W.  vanduzeei,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,Toxorhynchites rutilus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,Other ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
