"","date","dateRec","rain"
"1",2013-03-01,"2013/03/01",0
"2",2013-03-02,"2013/03/02",0
"3",2013-03-03,"2013/03/03",0
"4",2013-03-04,"2013/03/04",0
"5",2013-03-05,"2013/03/05",0
"6",2013-03-06,"2013/03/06",0.02
"7",2013-03-07,"2013/03/07",0
"8",2013-03-08,"2013/03/08",0
"9",2013-03-09,"2013/03/09",0
"10",2013-03-10,"2013/03/10",0
"11",2013-03-11,"2013/03/11",0
"12",2013-03-12,"2013/03/12",0.3
"13",2013-03-13,"2013/03/13",0
"14",2013-03-14,"2013/03/14",0
"15",2013-03-15,"2013/03/15",0
"16",2013-03-16,"2013/03/16",0
"17",2013-03-17,"2013/03/17",0.06
"18",2013-03-18,"2013/03/18",0.02
"19",2013-03-19,"2013/03/19",0.06
"20",2013-03-20,"2013/03/20",0.11
"21",2013-03-21,"2013/03/21",0
"22",2013-03-22,"2013/03/22",0
"23",2013-03-23,"2013/03/23",0.11
"24",2013-03-24,"2013/03/24",0.3
"25",2013-03-25,"2013/03/25",0
"26",2013-03-26,"2013/03/26",0
"27",2013-03-27,"2013/03/27",0
"28",2013-03-28,"2013/03/28",0
"29",2013-03-29,"2013/03/29",0
"30",2013-03-30,"2013/03/30",0
"31",2013-03-31,"2013/03/31",0
"32",2013-04-01,"2013/04/01",0
"33",2013-04-02,"2013/04/02",0
"34",2013-04-03,"2013/04/03",0.53
"35",2013-04-04,"2013/04/04",0.04
"36",2013-04-05,"2013/04/05",0.02
"37",2013-04-06,"2013/04/06",0
"38",2013-04-07,"2013/04/07",0
"39",2013-04-08,"2013/04/08",0
"40",2013-04-09,"2013/04/09",0
"41",2013-04-10,"2013/04/10",0
"42",2013-04-11,"2013/04/11",0.15
"43",2013-04-12,"2013/04/12",0
"44",2013-04-13,"2013/04/13",0
"45",2013-04-14,"2013/04/14",1.73
"46",2013-04-15,"2013/04/15",0
"47",2013-04-16,"2013/04/16",0
"48",2013-04-17,"2013/04/17",0
"49",2013-04-18,"2013/04/18",0
