"","date","total","vector"
"1",2013-06-04,79.3,40.9
"2",2013-06-12,79.5,22.2
"3",2013-06-18,187.2,51.3
"4",2013-06-25,73,33.7
"5",2013-07-04,198.5,87.9
"6",2013-07-10,360.1,175.9
"7",2013-07-17,367,260.5
"8",2013-07-24,66.9,40.6
"9",2013-07-30,1050.1,477.1
"10",2013-08-06,1093,347.8
"11",2013-08-13,368.6,207.6
"12",2013-08-20,199.3,159.5
"13",2013-09-03,365.2,294
"14",2013-09-10,899.2,496.2
"15",2013-09-17,954.3,657.9
"16",2013-09-24,736.3,597.7
"17",2013-10-01,239.4,199.7
"18",2013-10-08,129.3,74.4
"19",2013-10-16,137.5,80.8
"20",2013-10-22,170.8,58
"21",2013-11-04,41.7,29.9
"22",2013-11-12,43.7,24.4
"23",2013-11-26,21.4,8.2
