"","posibs","r.squared"
"27328","rain16.36ANDminTemp16.31",0.430455723996996
"19648","rain16.36ANDminTemp14.31",0.430197676995017
"27584","rain16.36ANDminTemp16.32",0.4299450904771
"19904","rain16.36ANDminTemp14.32",0.429871273985091
"32704","rain16.36ANDminTemp17.37",0.429514442141242
"28608","rain16.36ANDminTemp16.36",0.429330366214927
"27072","rain16.36ANDminTemp16.30",0.429311765310022
"28352","rain16.36ANDminTemp16.35",0.429253372356789
"31168","rain16.36ANDminTemp17.31",0.429250124911943
"31424","rain16.36ANDminTemp17.32",0.429181959980942
"19392","rain16.36ANDminTemp14.30",0.429134702490748
"11968","rain16.36ANDminTemp12.31",0.429060815419366
"8128","rain16.36ANDminTemp11.31",0.428930747406538
"12224","rain16.36ANDminTemp12.32",0.428837109621848
"23488","rain16.36ANDminTemp15.31",0.42883182570398
"32448","rain16.36ANDminTemp17.36",0.428567465011539
"36800","rain16.36ANDminTemp18.38",0.428543687797689
"40640","rain16.36ANDminTemp19.38",0.428524778448057
"15808","rain16.36ANDminTemp13.31",0.428511635994009
"32192","rain16.36ANDminTemp17.35",0.428495783346743
"20416","rain16.36ANDminTemp14.34",0.428373656019101
"23744","rain16.36ANDminTemp15.32",0.428331732808833
"16064","rain16.36ANDminTemp13.32",0.428276122439028
"36544","rain16.36ANDminTemp18.37",0.42823647064251
"40384","rain16.36ANDminTemp19.37",0.428222686487447
"24512","rain16.36ANDminTemp15.35",0.428146546626046
"11712","rain16.36ANDminTemp12.30",0.428144055800212
"28096","rain16.36ANDminTemp16.34",0.428136894756138
"44480","rain16.36ANDminTemp20.38",0.428047660581999
"20160","rain16.36ANDminTemp14.33",0.428036052274724
"30912","rain16.36ANDminTemp17.30",0.428026482651253
"7872","rain16.36ANDminTemp11.30",0.428015344396582
"19136","rain16.36ANDminTemp14.29",0.427856316676773
"27840","rain16.36ANDminTemp16.33",0.427822454862371
"39104","rain16.36ANDminTemp19.32",0.427811174241512
"38848","rain16.36ANDminTemp19.31",0.42780961180471
"23232","rain16.36ANDminTemp15.30",0.427806100073188
