"","posibs","r.squared"
"19920","rain17.37ANDminTemp14.32",0.537917131959675
"19936","rain18.38ANDminTemp14.32",0.537285110021863
"20192","rain18.38ANDminTemp14.33",0.536877583846808
"27600","rain17.37ANDminTemp16.32",0.53674829118245
"27616","rain18.38ANDminTemp16.32",0.53618041116602
"20176","rain17.37ANDminTemp14.33",0.535434550875905
"19664","rain17.37ANDminTemp14.31",0.534810968247335
"19680","rain18.38ANDminTemp14.31",0.534508885497189
"20448","rain18.38ANDminTemp14.34",0.534103673553694
"27872","rain18.38ANDminTemp16.33",0.534040988826661
"19935","rain18.37ANDminTemp14.32",0.533781188156497
"19904","rain16.36ANDminTemp14.32",0.533777224983198
"27344","rain17.37ANDminTemp16.31",0.533676757273297
"27360","rain18.38ANDminTemp16.31",0.533354521005386
"31440","rain17.37ANDminTemp17.32",0.533138003461417
"19919","rain17.36ANDminTemp14.32",0.5329917687329
"27584","rain16.36ANDminTemp16.32",0.532905387085349
"19648","rain16.36ANDminTemp14.31",0.53264492775334
"27328","rain16.36ANDminTemp16.31",0.532541410825823
"27856","rain17.37ANDminTemp16.33",0.532527968622934
"20432","rain17.37ANDminTemp14.34",0.532459945607244
"31456","rain18.38ANDminTemp17.32",0.532458904599923
"27615","rain18.37ANDminTemp16.32",0.532145644003318
"19663","rain17.36ANDminTemp14.31",0.53160274616028
"23760","rain17.37ANDminTemp15.32",0.531552050945167
"42960","rain17.37ANDminTemp20.32",0.53150341838061
"27599","rain17.36ANDminTemp16.32",0.531392843420754
"24032","rain18.38ANDminTemp15.33",0.531156622317777
"20191","rain18.37ANDminTemp14.33",0.531000573730526
"27312","rain15.35ANDminTemp16.31",0.530991702918668
"23776","rain18.38ANDminTemp15.32",0.530956934232188
"19679","rain18.37ANDminTemp14.31",0.530772284585481
"27343","rain17.36ANDminTemp16.31",0.530717662607599
"28128","rain18.38ANDminTemp16.34",0.530534708546412
"42976","rain18.38ANDminTemp20.32",0.530200529390128
"31712","rain18.38ANDminTemp17.33",0.530161344586596
"16080","rain17.37ANDminTemp13.32",0.530048217678791
"27568","rain15.35ANDminTemp16.32",0.529933144663846
"19888","rain15.35ANDminTemp14.32",0.52977840305838
"24016","rain17.37ANDminTemp15.33",0.529698866437169
"31424","rain16.36ANDminTemp17.32",0.52967958465431
"19632","rain15.35ANDminTemp14.31",0.529663448815968
"16352","rain18.38ANDminTemp13.33",0.5295213984998
"27359","rain18.37ANDminTemp16.31",0.529199658364651
"16096","rain18.38ANDminTemp13.32",0.529173067054535
"28112","rain17.37ANDminTemp16.34",0.528805773361538
"31696","rain17.37ANDminTemp17.33",0.528759915586007
"19934","rain18.36ANDminTemp14.32",0.528590934324029
"16336","rain17.37ANDminTemp13.33",0.528405845257382
"23504","rain17.37ANDminTemp15.31",0.528338183289779
"31455","rain18.37ANDminTemp17.32",0.528325859987999
"42944","rain16.36ANDminTemp20.32",0.528319969009738
"20447","rain18.37ANDminTemp14.34",0.528204360669315
"24288","rain18.38ANDminTemp15.34",0.528197939604046
"20160","rain16.36ANDminTemp14.33",0.528074148784167
"23520","rain18.38ANDminTemp15.31",0.528060684302037
"39120","rain17.37ANDminTemp19.32",0.528059884780778
"20175","rain17.36ANDminTemp14.33",0.527983739383241
"19408","rain17.37ANDminTemp14.30",0.527885069140675
"19424","rain18.38ANDminTemp14.30",0.527840833656361
"31439","rain17.36ANDminTemp17.32",0.527834966625564
"27871","rain18.37ANDminTemp16.33",0.527646851267331
"31184","rain17.37ANDminTemp17.31",0.527617740718818
"35280","rain17.37ANDminTemp18.32",0.527603798947765
"28640","rain18.38ANDminTemp16.36",0.527537622573132
"23744","rain16.36ANDminTemp15.32",0.52742824865835
"42688","rain16.36ANDminTemp20.31",0.527408928839693
"19678","rain18.36ANDminTemp14.31",0.527349541252128
"27088","rain17.37ANDminTemp16.30",0.527320723156951
"43232","rain18.38ANDminTemp20.33",0.527220846414295
"27104","rain18.38ANDminTemp16.30",0.527220414219425
"31200","rain18.38ANDminTemp17.31",0.527174021330545
"23775","rain18.37ANDminTemp15.32",0.527156337883906
"20416","rain16.36ANDminTemp14.34",0.527120808016913
"42704","rain17.37ANDminTemp20.31",0.527018585934894
"31168","rain16.36ANDminTemp17.31",0.52696109017343
"35296","rain18.38ANDminTemp18.32",0.526858518538009
"28384","rain18.38ANDminTemp16.35",0.526803773675248
"39136","rain18.38ANDminTemp19.32",0.526726535939493
"15824","rain17.37ANDminTemp13.31",0.526725927643349
"23488","rain16.36ANDminTemp15.31",0.526699598607664
