"Adults who are obese, Non-Hispanic Black, 2010",
County,Percent (%)
Alachua,43.6
Baker,39.9
Bay,60.7
Bradford,
Brevard,
Broward,53.1
Calhoun,
Charlotte,
Citrus,
Clay,35.1
Collier,
Columbia,48.7
DeSoto,
Dixie,
Duval,37.8
Escambia,54.3
Flagler,33.5
Franklin,
Gadsden,37.2
Gilchrist,
Glades,82
Gulf,52.2
Hamilton,52.5
Hardee,
Hendry,51.5
Hernando,
Highlands,
Hillsborough,47.6
Holmes,
Indian River,
Jackson,33.1
Jefferson,44.3
Lafayette,
Lake,
Lee,
Leon,30.8
Levy,
Liberty,46.8
Madison,49
Manatee,
Marion,
Martin,
Miami-Dade,38.2
Monroe,
Nassau,
Okaloosa,
Okeechobee,
Orange,40.1
Osceola,48.2
Palm Beach,26
Pasco,
Pinellas,
Polk,58.2
Putnam,29.7
Santa Rosa,
Sarasota,
Seminole,
St. Johns,
St. Lucie,35.5
State Total,42.7
Sumter,
Suwannee,
Taylor,70
Union,
Volusia,47.7
Wakulla,
Walton,
Washington,42.2
