"Student Membership by Grade, 2009-10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,MEMBERSHIP
1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL,0,81,80,75,71,61,77,0,0,0,0,0,0,0,445
1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL,0,82,64,69,82,77,65,0,0,0,0,0,0,0,439
1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHL,0,71,56,50,93,114,82,0,0,0,0,0,0,0,466
1,ALACHUA,52,A.QUINN JONES/EXCEP.STUD.CTR.,0,0,1,2,3,6,5,10,4,7,8,6,10,5,67
1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL,12,75,59,72,73,56,61,0,0,0,0,0,0,0,408
1,ALACHUA,81,SIDNEY LANIER CENTER,6,1,1,3,2,4,0,6,3,8,6,3,13,49,105
1,ALACHUA,82,HOSPITAL HOMEBOUND,1,3,2,1,4,2,2,1,2,1,0,0,2,3,24
1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,22,103,81,114,119,100,89,0,0,0,0,0,0,0,628
1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHO,158,75,60,70,59,49,60,0,0,0,0,0,0,0,531
1,ALACHUA,111,JOSEPH WILLIAMS ELEM. SCHOOL,0,79,81,99,109,98,106,0,0,0,0,0,0,0,572
1,ALACHUA,112,ABRAHAM LINCOLN MIDDLE SCHOOL,0,0,0,0,0,0,0,230,243,236,0,0,0,0,709
1,ALACHUA,121,HOWARD W. BISHOP MIDDLE SCHOOL,0,0,0,0,0,0,0,261,233,223,0,0,0,0,717
1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL,0,0,0,0,0,0,0,355,311,381,0,0,0,0,"1,047"
1,ALACHUA,151,GAINESVILLE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,485,506,481,456,"1,928"
1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,0,0,0,0,147,141,158,0,0,0,0,0,0,0,446
1,ALACHUA,171,ARCHER ELEMENTARY,18,73,69,59,71,84,69,0,0,0,0,0,0,0,443
1,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL,0,0,0,0,0,0,0,57,51,47,62,63,59,56,395
1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL,0,0,0,0,0,0,0,149,154,150,0,0,0,0,453
1,ALACHUA,261,NEWBERRY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,165,161,153,117,596
1,ALACHUA,271,SANTA FE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,285,304,304,236,"1,129"
1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,17,34,26,26,36,27,27,0,0,0,0,0,0,0,193
1,ALACHUA,291,WALDO COMMUNITY SCHOOL,16,28,38,34,39,30,30,0,0,0,0,0,0,0,215
1,ALACHUA,311,MYRA TERWILLIGER ELEM. SCHOOL,133,127,106,90,100,84,71,0,0,0,0,0,0,0,711
1,ALACHUA,321,IDYLWILD ELEMENTARY SCHOOL,1,96,104,97,102,89,81,0,0,0,0,0,0,0,570
1,ALACHUA,331,GLEN SPRINGS ELEMENTARY SCHOOL,2,82,93,90,79,59,58,0,0,0,0,0,0,0,463
1,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,86,64,53,50,48,50,44,0,0,0,0,0,0,0,395
1,ALACHUA,343,CHARACTER COUNTS CENTER,0,2,2,6,3,1,4,1,0,0,0,0,0,0,19
1,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT,29,0,0,0,0,0,0,0,1,1,67,54,60,47,259
1,ALACHUA,412,HORIZON CTR. ALTERNATIVE SCHL,0,0,0,0,0,0,0,2,8,26,15,13,9,6,79
1,ALACHUA,421,EASTSIDE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,399,385,407,358,"1,549"
1,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,514,532,599,576,"2,221"
1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,18,73,101,109,104,98,106,99,103,127,0,0,0,0,938
1,ALACHUA,481,FORT CLARKE MIDDLE SCHOOL,0,0,0,0,0,0,0,283,262,256,0,0,0,0,801
1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,13,145,131,133,125,150,139,0,0,0,0,0,0,0,836
1,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENT,63,0,0,0,0,0,0,0,0,0,0,0,0,0,63
1,ALACHUA,500,PRAIRIE VIEW ACADEMY,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1,ALACHUA,501,KIMBALL WILES ELEM. SCHOOL,2,105,135,89,109,94,110,0,0,0,0,0,0,0,644
1,ALACHUA,502,KANAPAHA MIDDLE SCHOOL,0,0,0,0,0,0,0,303,297,332,0,0,0,0,932
1,ALACHUA,510,LAWTON M. CHILES ELEM. SCHOOL,0,134,107,106,122,124,118,0,0,0,0,0,0,0,711
1,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,32,96,80,106,109,97,0,0,0,0,0,0,0,0,520
1,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,5,113,94,104,112,108,121,0,0,0,0,0,0,0,657
1,ALACHUA,561,WILLIAM S. TALBOT ELEM SCHOOL,19,103,128,118,117,110,136,0,0,0,0,0,0,0,731
1,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,55,165,147,154,0,0,0,0,0,0,0,0,0,0,521
1,ALACHUA,591,OAK VIEW MIDDLE SCHOOL,0,0,0,0,0,0,90,193,155,145,0,0,0,0,583
1,ALACHUA,603,GAINESVILLE WILDERNESS INSTITU,0,0,0,0,0,0,0,0,3,6,11,11,3,1,35
1,ALACHUA,604,PACE,0,0,0,0,0,0,0,1,3,8,4,13,9,1,39
1,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJ,0,17,18,17,25,23,14,0,0,0,0,0,0,0,114
1,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHO,0,27,18,15,19,18,19,0,0,0,0,0,0,0,116
1,ALACHUA,953,CARING & SHARING LEARNING SCH,0,20,20,21,26,22,22,0,0,0,0,0,0,0,131
1,ALACHUA,955,EINSTEIN MONTESSORI SCHOOL,0,0,0,11,12,14,12,17,23,17,0,0,0,0,106
1,ALACHUA,956,EXPRESSIONS LEARNING ARTS ACAD,0,14,23,13,14,13,9,0,0,0,0,0,0,0,86
1,ALACHUA,957,ALACHUA LEARNING CENTER,0,19,17,21,16,9,18,24,20,23,0,0,0,0,167
1,ALACHUA,958,GENESIS PREPARATORY SCHOOL,0,19,23,19,10,0,0,0,0,0,0,0,0,0,71
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, INC.",0,0,0,0,0,0,0,22,23,20,11,0,0,0,76
1,ALACHUA,971,HOGGETOWNE MIDDLE SCHOOL,0,0,0,0,0,0,0,30,43,36,0,0,0,0,109
1,ALACHUA,981,HEALTHY LEARNING ACADEMY CHART,0,17,19,11,0,0,0,0,0,0,0,0,0,0,47
1,ALACHUA,991,FLORIDA SIATECH AT GAINESVILLE,0,0,0,0,0,0,0,0,0,0,16,35,85,66,202
