FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2010-11,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA AS OF 12/05/10,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,Total Membership
1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL,0,35,67,60,61,39,58,0,0,0,0,0,0,0,320
1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL,1,99,85,57,72,73,72,0,0,0,0,0,0,0,459
1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHL,0,70,64,57,71,89,113,0,0,0,0,0,0,0,464
1,ALACHUA,52,A.QUINN JONES/EXCEP.STUD.CTR.,0,0,1,5,4,3,5,6,8,8,7,6,8,6,67
1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL,11,65,64,47,80,55,57,0,0,0,0,0,0,0,379
1,ALACHUA,81,SIDNEY LANIER CENTER,15,0,2,0,2,2,4,3,7,2,12,4,3,48,104
1,ALACHUA,82,HOSPITAL HOMEBOUND,2,2,3,1,2,4,1,1,0,5,0,0,2,4,27
1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,20,127,103,85,120,108,106,0,0,0,0,0,0,0,669
1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHO,124,66,62,57,64,37,41,0,0,0,0,0,0,0,451
1,ALACHUA,111,JOSEPH WILLIAMS ELEM. SCHOOL,0,59,78,107,95,108,96,0,0,0,0,0,0,0,543
1,ALACHUA,112,ABRAHAM LINCOLN MIDDLE SCHOOL,0,0,0,0,0,0,0,258,220,246,0,0,0,0,724
1,ALACHUA,121,HOWARD W. BISHOP MIDDLE SCHOOL,0,0,0,0,0,0,0,245,247,234,0,0,0,0,726
1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL,0,0,0,0,0,0,0,352,328,314,0,0,0,0,994
1,ALACHUA,151,GAINESVILLE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,514,494,450,413,"1,871"
1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,0,0,0,0,146,138,141,0,0,0,0,0,0,0,425
1,ALACHUA,171,ARCHER ELEMENTARY,16,70,80,68,73,85,77,0,0,0,0,0,0,0,469
1,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL,0,0,0,0,0,0,0,41,60,47,43,63,44,58,356
1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL,0,0,0,0,0,0,0,144,145,146,0,0,0,0,435
1,ALACHUA,261,NEWBERRY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,167,152,136,120,575
1,ALACHUA,271,SANTA FE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,286,279,294,261,"1,120"
1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,13,37,34,24,29,32,26,0,0,0,0,0,0,0,195
1,ALACHUA,291,WALDO COMMUNITY SCHOOL,17,25,29,29,32,36,29,0,0,0,0,0,0,0,197
1,ALACHUA,311,MYRA TERWILLIGER ELEM. SCHOOL,96,117,106,88,82,81,79,0,0,0,0,0,0,0,649
1,ALACHUA,321,IDYLWILD ELEMENTARY SCHOOL,0,147,120,96,109,95,85,0,0,0,0,0,0,0,652
1,ALACHUA,331,GLEN SPRINGS ELEMENTARY SCHOOL,0,69,73,66,72,75,57,0,0,0,0,0,0,0,412
1,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,87,55,62,42,47,47,47,0,0,0,0,0,0,0,387
1,ALACHUA,343,CHARACTER COUNTS CENTER,0,2,7,6,7,1,3,2,0,0,0,0,0,0,28
1,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT,13,0,0,0,0,0,0,0,3,3,76,64,47,56,262
1,ALACHUA,412,HORIZON CTR. ALTERNATIVE SCHL,0,0,0,0,0,0,0,7,10,13,17,18,9,7,81
1,ALACHUA,421,EASTSIDE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,381,377,350,315,"1,423"
1,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,542,526,531,575,"2,174"
1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,19,90,0,0,180,180,98,110,87,96,0,0,0,0,860
1,ALACHUA,481,FORT CLARKE MIDDLE SCHOOL,0,0,0,0,0,0,0,268,286,271,0,0,0,0,825
1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,14,144,152,126,143,123,151,0,0,0,0,0,0,0,853
1,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENT,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64
1,ALACHUA,500,PRAIRIE VIEW ACADEMY,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83
1,ALACHUA,501,KIMBALL WILES ELEM. SCHOOL,3,127,131,130,93,117,92,0,0,0,0,0,0,0,693
1,ALACHUA,502,KANAPAHA MIDDLE SCHOOL,0,0,0,0,0,0,0,296,303,304,0,0,0,0,903
1,ALACHUA,503,WILES HEAD START,65,0,0,0,0,0,0,0,0,0,0,0,0,0,65
1,ALACHUA,510,LAWTON M. CHILES ELEM. SCHOOL,0,120,131,113,107,122,122,0,0,0,0,0,0,0,715
1,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,27,116,98,90,103,103,0,0,0,0,0,0,0,0,537
1,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,8,116,102,91,112,104,112,0,0,0,0,0,0,0,645
1,ALACHUA,561,WILLIAM S. TALBOT ELEM SCHOOL,12,133,101,123,112,120,106,0,0,0,0,0,0,0,707
1,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,60,158,159,155,0,0,0,0,0,0,0,0,0,0,532
