FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2011-12,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA AS OF 11/23/11,,,,,,,,,,,,,,,,,,
DISTRICT #,DISTRICT,SCHOOL #,SCHOOL,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL,0,44,36,53,57,58,42,0,0,0,0,0,0,0,290
1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL,0,93,94,76,54,65,83,0,0,0,0,0,0,0,465
1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHL,0,78,75,59,83,71,89,0,0,0,0,0,0,0,455
1,ALACHUA,52,A.QUINN JONES/EXCEP.STUD.CTR.,0,1,2,2,5,11,4,5,8,9,3,7,1,5,63
1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL,8,48,64,54,60,59,60,0,0,0,0,0,0,0,353
1,ALACHUA,81,SIDNEY LANIER CENTER,24,2,1,2,1,2,2,5,3,6,3,10,3,44,108
1,ALACHUA,82,HOSPITAL HOMEBOUND,1,2,1,3,1,3,3,0,0,0,1,0,1,2,18
1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,22,121,143,113,87,118,105,0,0,0,0,0,0,0,709
1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHO,126,83,51,60,50,54,48,0,0,0,0,0,0,0,472
1,ALACHUA,111,JOSEPH WILLIAMS ELEM. SCHOOL,0,60,58,92,104,79,101,0,0,0,0,0,0,0,494
1,ALACHUA,112,ABRAHAM LINCOLN MIDDLE SCHOOL,0,0,0,0,0,0,0,217,243,222,0,0,0,0,682
1,ALACHUA,121,HOWARD W. BISHOP MIDDLE SCHOOL,0,0,0,0,0,0,0,227,227,221,0,0,0,0,675
1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL,0,0,0,0,0,0,0,356,334,339,0,0,0,0,"1,029"
1,ALACHUA,151,GAINESVILLE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,505,492,450,386,"1,833"
1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,0,0,0,0,154,136,138,0,0,0,0,0,0,0,428
1,ALACHUA,171,ARCHER ELEMENTARY,17,52,70,90,74,76,81,0,0,0,0,0,0,0,460
1,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL,0,0,0,0,0,0,0,51,42,52,46,34,48,37,310
1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL,0,0,0,0,0,0,0,132,149,141,0,0,0,0,422
1,ALACHUA,261,NEWBERRY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,186,157,138,113,594
1,ALACHUA,271,SANTA FE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,288,287,261,269,"1,105"
1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,18,33,36,26,24,35,31,0,0,0,0,0,0,0,203
