FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2012-13,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA as of 11/25/12 ,,,,,,,,,,,,,,,,,,
A blank cell indicates no population for the subgroup.,,,,,,,,,,,,,,,,,,
# cells indicate subgroup population fewer than 10,,,,,,,,,,,,,,,,,,
DISTRICT #,DISTRICT,SCHOOL #,SCHOOL,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL,,56,52,37,57,58,50, , , , , , , ,310
1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL,,127,102,95,83,69,72, , , , , , , ,548
1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHL,,90,64,63,80,83,79, , , , , , , ,459
1,ALACHUA,52,A.QUINN JONES/EXCEP.STUD.CTR.,, ,#,#,#,#,14,#,#,10,#,#,#,#,75
1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL,,51,62,49,54,46,49, , , , , , , ,311
1,ALACHUA,81,SIDNEY LANIER CENTER,54, ,#,#,#,#,#,#,#,#,#,#,#,44,138
1,ALACHUA,82,HOSPITAL HOMEBOUND,#, ,#,#,#, ,#,#,#,#,#,#,#,#,38
1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,21,105,100,110,87,71,105, , , , , , , ,599
1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHO,99,45,63,41,51,39,47, , , , , , , ,385
1,ALACHUA,111,JOSEPH WILLIAMS ELEM. SCHOOL,,79,76,96,100,115,106, , , , , , , ,572
1,ALACHUA,112,ABRAHAM LINCOLN MIDDLE SCHOOL,, , , , , , ,238,220,236, , , , ,694
1,ALACHUA,121,HOWARD W. BISHOP MIDDLE SCHOOL,, , , , , , ,236,213,236, , , , ,685
1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL,, , , , , , ,336,327,335, , , , ,998
1,ALACHUA,151,GAINESVILLE HIGH SCHOOL,, , , , , , , , , ,540,478,473,436,"1,927"
1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,, , , ,129,126,122, , , , , , , ,377
1,ALACHUA,171,ARCHER ELEMENTARY,18,75,61,75,101,77,77, , , , , , , ,484
1,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL,, , , , , , ,47,43,38,47,55,36,45,311
1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL,, , , , , , ,126,122,140, , , , ,388
1,ALACHUA,261,NEWBERRY HIGH SCHOOL,, , , , , , , , , ,160,170,150,107,587
1,ALACHUA,271,SANTA FE HIGH SCHOOL,, , , , , , , , , ,271,280,263,255,"1,069"
1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,18,33,25,38,26,27,33, , , , , , , ,200
1,ALACHUA,291,WALDO COMMUNITY SCHOOL,17,48,33,30,36,25,27, , , , , , , ,216
1,ALACHUA,311,MYRA TERWILLIGER ELEM. SCHOOL,100,133,116,95,91,73,84, , , , , , , ,692
1,ALACHUA,321,IDYLWILD ELEMENTARY SCHOOL,,149,102,121,96,79,97, , , , , , , ,644
1,ALACHUA,331,GLEN SPRINGS ELEMENTARY SCHOOL,#,96,84,58,66,69,64, , , , , , , ,438
1,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,87,52,47,49,52,47,43, , , , , , , ,377
1,ALACHUA,343,CHARACTER COUNTS CENTER,, ,#,#,#,11,#,#, , , , , , ,35
1,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT,16, , , , , , ,#, ,#,56,53,55,48,231
1,ALACHUA,412,HORIZON CTR. ALTERNATIVE SCHL,, , , , , , ,#,19,39,19,16,#,#,104
1,ALACHUA,421,EASTSIDE HIGH SCHOOL,, , , , , , , , , ,362,328,325,299,"1,314"
1,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL,, , , , , , , , , ,572,552,524,521,"2,169"
1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,14,75,85,89,77,91,100,94,101,111, , , , ,837
1,ALACHUA,481,FORT CLARKE MIDDLE SCHOOL,, , , , , , ,261,305,263, , , , ,829
1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,20,111,116,125,122,109,110, , , , , , , ,713
1,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENT,60, , , , , , , , , , , , , ,60
1,ALACHUA,500,PRAIRIE VIEW ACADEMY,87, , , , , , , , , , , , , ,87
1,ALACHUA,501,KIMBALL WILES ELEM. SCHOOL,#,136,135,131,125,110,90, , , , , , , ,728
1,ALACHUA,502,KANAPAHA MIDDLE SCHOOL,, , , , , , ,336,316,319, , , , ,971
1,ALACHUA,503,WILES HEAD START,68, , , , , , , , , , , , , ,68
1,ALACHUA,510,LAWTON M. CHILES ELEM. SCHOOL,#,119,119,90,106,96,91, , , , , , , ,623
1,ALACHUA,520,MEADOWBROOK ELEMENTARY SCHOOL,12,112,101,98,93,103,62, , , , , , , ,581
1,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,29,98,102,97,80,87, , , , , , , , ,493
1,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,10,108,115,103,102,73,87, , , , , , , ,598
1,ALACHUA,561,WILLIAM S. TALBOT ELEM SCHOOL,11,103,110,145,111,104,102, , , , , , , ,686
1,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,62,154,145,132, , , , , , , , , , ,493
1,ALACHUA,591,OAK VIEW MIDDLE SCHOOL,, , , , , ,94,205,199,160, , , , ,658
1,ALACHUA,602,NORTH AMERICAN FAMILY INSTITUT,, , , , , , , ,#,#,#,#,#, ,23
1,ALACHUA,603,GAINESVILLE WILDERNESS INSTITU,, , , , , , ,#,#,#,10,#,#, ,19
1,ALACHUA,604,PACE,, , , , , , ,#,#,14,#,#,#,#,37
1,ALACHUA,701,ALACHUA COUNTY JAIL,, , , , , , , , , ,#,#,#,#,17
1,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJ,,51,39,31,18,18,17, , , , , , , ,174
1,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHO,,20,20,21,24,17,16, , , , , , , ,118
1,ALACHUA,953,CARING & SHARING LEARNING SCHO,,20,17,17,24,21,18,16, , , , , , ,133
1,ALACHUA,955,EINSTEIN MONTESSORI SCHOOL,, , ,#,18,22,17,16,19,16, , , , ,112
1,ALACHUA,956,EXPRESSIONS LEARNING ARTS ACAD,,14,15,14,14,21,11, , , , , , , ,89
1,ALACHUA,957,"ALACHUA LEARNING CENTER, INC.",,18,18,14,18,22,14, , , , , , , ,104
1,ALACHUA,958,GENESIS PREPARATORY SCHOOL,,16,20,18,16, , , , , , , , , ,70
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, INC.",, , , , , , ,17,25,17,10, , , ,69
1,ALACHUA,971,HOGGETOWNE MIDDLE SCHOOL,, , , , , , ,21,46,37, , , , ,104
1,ALACHUA,981,HEALTHY LEARNING ACADEMY CHART,,18,18,13,18,#,10, , , , , , , ,84
1,ALACHUA,991,SIATECH GAINESVILLE,, , , , , , , , , ,26,23,69,98,216
1,ALACHUA,1001,SWEETWATER BRANCH ACADEMY,, , , , , , ,17,28,25, , , , ,70
1,ALACHUA,1002,SWEETWATER BRANCH ACADEMY ELEM,,22,22,19,21,22,14, , , , , , , ,120
1,ALACHUA,1003,MYCROSCHOOL GAINESVILLE,, , , , , , , , , ,#,23,86,190,302
1,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL,, , , , , , ,20,17, , , , , ,37
1,ALACHUA,1011,"ALACHUA LEARNING CENTER , INC.",, , , , , , ,21,18,22, , , , ,61
1,ALACHUA,7001,ALACHUA VIRTUAL INSTRUCTION PR,, , , , , , , , , ,#,#, , ,#
1,ALACHUA,9029,N. FLORIDA JUVENILE DETENTION,, , , , , , ,#,#,#,#,11,#, ,26
2,BAKER,12,BAKER COUNTY SENIOR HIGH SCHOO,, , , , , , , , , ,395,285,300,269,"1,249"
2,BAKER,13,MACCLENNY ELEMENTARY SCHOOL,#, ,216,211,202, ,#, , , , , , , ,633
2,BAKER,22,PREK/KINDERGARTEN CENTER,187,424, , , , , , , , , , , , ,611
2,BAKER,31,J FRANKLYN KELLER INTERMEDIATE,, , , , ,363,358, , , , , , , ,721
2,BAKER,32,BAKER COUNTY MIDDLE SCHOOL,, , , , , ,#,411,388,346, , , , ,"1,148"
2,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,, ,196,206,216,#, , , , , , , , ,620
3,BAY,61,BAY HIGH SCHOOL,, , , , , , , , , ,405,364,302,254,"1,325"
3,BAY,71,MERRITT BROWN MIDDLE SCHOOL,, , , , , , ,286,272,249, , , , ,807
3,BAY,81,HUTCHISON BEACH ELEMENTARY SCH,36,127,108,126,116,103,138, , , , , , , ,754
3,BAY,91,CEDAR GROVE ELEMENTARY SCHOOL,56,92,80,74,80,58,82, , , , , , , ,522
