DISTRICT #,DISTRICT NAME,SCHOOL #,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL, ,60,50,42,47,46,65, , , , , , , ,310
1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL, ,90,120,106,104,88,70, , , , , , , ,578
1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHL, ,71,98,67,85,90,73, , , , , , , ,484
1,ALACHUA,52,A.QUINN JONES/EXCEP.STUD.CTR., , ,#,#,#,#,#,10,#,#,#,12,#,#,66
1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL, ,52,51,52,52,43,50, , , , , , , ,300
1,ALACHUA,81,SIDNEY LANIER CENTER,66, , ,#,#,#,#,#,#,#,#,#,#,43,149
1,ALACHUA,82,HOSPITAL HOMEBOUND,#,#,#, ,#,#,#,#,#,#,#,#,#,#,43
1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,16,113,115,104,103,84,85, , , , , , , ,620
1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHO,87,60,57,59,51,44,40, , , , , , , ,398
1,ALACHUA,111,JOSEPH WILLIAMS ELEM. SCHOOL, ,80,77,103,101,94,111, , , , , , , ,566
1,ALACHUA,112,ABRAHAM LINCOLN MIDDLE SCHOOL, , , , , , , ,216,237,216, , , , ,669
1,ALACHUA,121,HOWARD W. BISHOP MIDDLE SCHOOL, , , , , , , ,240,237,210, , , , ,687
1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL, , , , , , , ,312,339,332, , , , ,983
1,ALACHUA,151,GAINESVILLE HIGH SCHOOL, , , , , , , , , , ,437,473,383,422,"1,715"
1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL, , , , ,123,116,126, , , , , , , ,365
1,ALACHUA,171,ARCHER ELEMENTARY,19,52,80,57,71,98,77, , , , , , , ,454
1,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL, , , , , , , ,40,42,25,10,24,18,16,175
1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL, , , , , , , ,115,120,120, , , , ,355
1,ALACHUA,261,NEWBERRY HIGH SCHOOL, , , , , , , , , , ,117,127,115,119,478
1,ALACHUA,271,SANTA FE HIGH SCHOOL, , , , , , , , , , ,208,243,271,215,937
1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,17,32,39,23,34,26,24, , , , , , , ,195
1,ALACHUA,291,WALDO COMMUNITY SCHOOL,19,42,43,31,26,34,26, , , , , , , ,221
1,ALACHUA,311,MYRA TERWILLIGER ELEM. SCHOOL,90,126,121,98,97,76,69, , , , , , , ,677
1,ALACHUA,321,IDYLWILD ELEMENTARY SCHOOL, ,145,137,109,120,89,82, , , , , , , ,682
1,ALACHUA,331,GLEN SPRINGS ELEMENTARY SCHOOL, ,83,96,83,70,74,68, , , , , , , ,474
1,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,91,59,58,49,55,35,40, , , , , , , ,387
1,ALACHUA,343,CHARACTER COUNTS CENTER, ,#,#,#,#,#,#,#, , , , , , ,37
1,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT,12, , , , , , , ,#, ,64,48,43,49,217
1,ALACHUA,412,HORIZON CTR. ALTERNATIVE SCHL, , , , , , , ,#,16,29,15,14,#,#,87
1,ALACHUA,421,EASTSIDE HIGH SCHOOL, , , , , , , , , , ,400,303,274,284,"1,261"
1,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL, , , , , , , , , , ,543,506,491,475,"2,015"
1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,17,82,82,86,97,86,94,111,103,112, , , , ,870
1,ALACHUA,481,FORT CLARKE MIDDLE SCHOOL, , , , , , , ,261,258,317, , , , ,836
1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,17,111,125,105,142,111,115, , , , , , , ,726
1,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENT,62, , , , , , , , , , , , , ,62
1,ALACHUA,500,PRAIRIE VIEW ACADEMY,48, , , , , , , , , , , , , ,48
