,std0004,std0004per,std0509,std0509per,std1014,std1014per,std1524,std1524per,std2529,std2529per,std3034,std3034per,std3539,std3539per,std4044,std4044per,std4554,std4554per,std5564,std5564per,std65,std65per
FLORIDA,7,0.6,4,0.4,878,77.2,"66,602",2762.6,"15,691",1330.9,"6,721",604.8,"3,459",297.1,"2,293",932.3,"2,430",90.4,604,25.8,203,89.1
ALACHUA,0,0,0,0,19,151.3,"1,653",2524,308,1358.3,105,645.8,52,364.8,31,1111.5,31,100.4,5,19.7,4,138.7
BAKER,0,0,0,0,1,54.9,98,2589.9,21,1186.4,13,792.7,5,271,2,527.7,0,0,0,0,0,0
BAY,0,0,0,0,7,68,693,3525.5,151,1470.3,38,384.8,11,103.6,15,647.7,14,51.2,3,12.7,1,47
BRADFORD,0,0,0,0,3,202.2,127,3191,21,858.9,9,415.7,3,142.9,2,495,2,49.4,2,58.9,0,0
BREVARD,0,0,1,3.6,32,102.9,"1,391",2130.1,279,941.1,121,453.7,50,175.1,32,470.2,40,45.2,8,10.2,4,73.7
BROWARD,1,0.9,0,0,68,60.2,"5,841",2778.9,"1,655",1472.2,789,685,525,423,381,1482.9,480,181.8,112,56.8,30,134.5
CALHOUN,0,0,0,0,0,0,47,2198.3,6,474.3,2,201,3,304.6,3,1562.5,2,112.4,0,0,0,0
CHARLOTTE,0,0,0,0,3,41.4,264,1861,43,706.7,14,233.5,11,157,2,121.9,4,18.1,0,0,0,0
CITRUS,0,0,0,0,4,62.1,305,2350.5,48,872.7,18,377.4,7,120.2,4,284.1,8,42.7,0,0,2,191.6
CLAY,0,0,0,0,8,56,530,1988.7,104,894.6,42,384.6,25,206,10,373.3,3,10.5,4,17.6,0,0
COLLIER,0,0,0,0,8,44.4,493,1449.5,135,783.5,54,318.1,41,233.8,13,342.7,19,43.7,4,8.5,3,77.7
COLUMBIA,0,0,0,0,0,0,248,2553,66,1417.8,20,520.8,8,203.6,2,244.8,10,106,4,45.8,0,0
DESOTO,0,0,0,0,6,314,101,2048.7,19,712.9,7,284,6,247.9,0,0,3,87.1,0,0,0,0
DIXIE,0,0,0,0,1,112.6,67,3167.8,15,1363.6,6,722.9,2,228.6,6,3243.2,2,95.9,1,44.7,1,549.5
DUVAL,0,0,2,3.2,60,101.9,"5,243",4037.8,"1,348",1985.4,542,889.3,226,368.5,190,1487.7,187,136.2,35,33.5,9,67.8
ESCAMBIA,0,0,0,0,17,90.8,"1,633",3110.8,329,1388.5,140,742.5,57,320.2,30,819,30,72.3,10,27.6,4,95.4
FLAGLER,0,0,0,0,6,116.3,257,2628.6,38,981.9,21,584.1,7,167.3,4,377.7,3,21.9,2,12.8,3,366.7
FRANKLIN,0,0,0,0,1,175.7,52,3883.5,11,1383.6,4,437.2,2,229.9,0,0,2,110.7,0,0,0,0
GADSDEN,0,0,0,0,7,217.7,482,6777.3,116,2882,66,1979,22,656.7,8,1267.8,16,230.9,4,63.6,0,0
GILCHRIST,0,0,0,0,0,0,42,1384.3,9,1000,5,571.4,1,98,0,0,0,0,1,44.4,0,0
GLADES,0,0,0,0,0,0,25,1775.6,18,2222.2,3,387.1,5,636.9,0,0,2,130.1,0,0,0,0
GULF,0,0,0,0,1,119.8,46,2247.2,5,375.9,2,174.7,2,164.6,0,0,3,118.7,0,0,0,0
HAMILTON,0,0,0,0,1,115.7,124,5462.6,14,1157,4,367,5,450.5,1,458.7,2,103.8,0,0,0,0
HARDEE,0,0,0,0,0,0,72,1621.3,19,725.2,5,239.8,1,54.2,0,0,2,62.5,0,0,0,0
HENDRY,0,0,0,0,2,65.6,161,2045.2,33,862.7,17,512.8,4,137,2,405.7,3,72,2,60,0,0
HERNANDO,0,0,0,0,4,42.8,313,1850.4,45,638.3,19,269.1,16,205.3,4,231.6,8,35.5,2,7.7,0,0
HIGHLANDS,0,0,0,0,4,77.5,275,2784.5,65,1403.9,20,473.9,12,273.3,3,321.9,3,25.7,0,0,0,0
HILLSBOROUGH,1,1.2,0,0,95,114.7,"6,319",3723.8,"1,491",1721.2,658,811.5,308,376.3,194,1156.9,186,108.9,45,34.1,10,60.5
HOLMES,0,0,0,0,1,85.3,72,2384.9,12,736.2,2,170.2,1,80.3,0,0,0,0,0,0,0,0
INDIAN RIVER,0,0,0,0,5,68.3,356,2498.1,79,1196.1,27,443,11,167.8,4,268.5,15,76.4,5,23.4,0,0
JACKSON,0,0,0,0,7,245.8,225,3116.8,39,918.7,16,421.1,11,286.8,4,553.3,3,37.8,0,0,1,166.4
JEFFERSON,0,0,0,0,3,417.8,77,4342.9,16,1641,9,937.5,5,485.4,4,1941.7,1,44.3,0,0,0,0
LAFAYETTE,0,0,0,0,0,0,13,848,3,230.8,1,96.6,1,105.3,1,632.9,0,0,0,0,0,0
LAKE,0,0,0,0,10,62,806,2776.9,183,1407.7,78,568.1,37,233.6,18,517.4,15,38.6,6,14.2,2,64.7
LEE,0,0,0,0,36,105.8,"1,695",2633.3,355,1117.1,152,489.8,81,247,38,542.7,38,46,19,20.9,7,96.8
LEON,0,0,0,0,20,135.4,"2,955",4168.1,501,2173.1,169,1053.3,83,514.4,35,1108.6,36,105.2,11,39.2,2,61.8
LEVY,2,81.7,0,0,1,39,162,3207.9,35,1470.6,6,286.4,3,129.6,4,852.9,1,17.4,1,16.1,0,0
LIBERTY,0,0,0,0,0,0,26,2013.9,4,434.8,0,0,1,127.4,2,1369.9,1,89.5,0,0,0,0
MADISON,0,0,0,0,3,266.9,124,3939,23,1253.4,11,852.7,8,594.8,1,425.5,0,0,0,0,1,396.8
MANATEE,1,5.3,0,0,21,119,"1,091",3210.5,218,1234.1,99,570.3,43,243.6,22,578,19,44,5,11.5,1,26.7
MARION,0,0,0,0,12,65.7,"1,191",3216.7,281,1729.8,79,533.6,32,185.7,21,539.6,21,46.3,0,0,2,56.4
MARTIN,0,0,0,0,3,42.2,277,2020.4,56,992,20,365,13,201.4,5,313.3,5,23.5,2,8.9,1,83.6
MIAMI-DADE,0,0,1,0.6,109,69.8,"7,579",2270.1,"1,938",1190.5,956,593.2,580,333.7,478,1336.6,501,141,126,46.3,53,158.5
MONROE,0,0,0,0,0,0,120,1576.9,25,659.6,11,296.5,14,315,14,1352.7,9,69.7,2,15.9,2,287.4
NASSAU,0,0,0,0,1,21.5,182,1936.6,37,949.9,12,308.9,9,190.1,3,289,2,16.9,0,0,0,0
OKALOOSA,0,0,0,0,4,32.8,635,2476.7,186,1396.4,57,437.3,19,147,12,463,11,38.4,1,4.1,1,38.4
OKEECHOBEE,0,0,0,0,2,73.7,134,2283.6,41,1512.9,17,740.7,7,302.4,3,603.6,3,54.4,3,71,0,0
ORANGE,1,1.2,0,0,74,98.2,"5,306",3103.3,"1,402",1482.3,606,704.5,284,351.2,159,1008.1,187,121.4,37,34.1,12,71.3
OSCEOLA,0,0,0,0,9,41.2,876,2092.5,221,1151.3,113,596.6,51,261.5,33,818.5,15,37,9,30.4,1,25.6
PALM BEACH,0,0,0,0,44,58.8,"2,991",2033.1,806,1128.2,302,437.6,185,249.3,129,804.7,117,65.3,45,27.9,11,75.8
PASCO,0,0,0,0,3,11.3,804,1692,188,867.2,68,320.5,40,172.5,16,308.6,23,38.1,1,1.7,5,108.4
PINELLAS,0,0,0,0,44,94,"3,611",3693.4,807,1586.9,395,798.8,164,306.1,104,869.8,131,92,28,21.3,7,76.5
POLK,0,0,0,0,27,70.7,"2,075",2870.5,485,1371.4,213,643.7,97,281.4,65,898.3,55,70.8,20,27.5,7,89.4
PUTNAM,0,0,0,0,10,207.6,314,3365.5,72,1712.2,36,976.9,16,434.2,3,363.6,6,57.1,2,19.2,0,0
ST JOHNS,0,0,0,0,0,0,359,1478.8,69,596.6,24,236.6,17,155,10,383.3,4,12.5,3,10.6,0,0
ST LUCIE,0,0,0,0,11,66.2,920,2829.4,198,1358,78,568.5,39,273.3,23,725.8,23,59.6,3,8.1,1,30.8
SANTA ROSA,0,0,0,0,4,39.9,285,1467.6,59,612.4,20,215.4,10,101,9,431.4,9,39,1,5.3,0,0
SARASOTA,0,0,0,0,5,27.2,756,2279.3,159,1047.8,76,494.3,35,199,25,595.1,30,56.1,9,13.9,6,198.9
SEMINOLE,0,0,0,0,9,31.6,"1,273",2353.6,282,934.2,130,424.2,51,162.9,35,543,26,39.1,8,15.9,3,60.3
SUMTER,0,0,0,0,1,23.9,174,1852.2,35,651.8,11,216.1,4,71.9,3,282.2,5,40.4,2,16.4,1,133.5
SUWANNEE,0,0,0,0,4,164.7,107,1770.6,27,809.6,14,472.2,5,175.7,4,695.7,5,79,1,17.8,0,0
TAYLOR,0,0,0,0,5,372,51,1718.3,10,560.2,4,241,4,218.6,0,0,0,0,1,32.4,0,0
UNION,0,0,0,0,0,0,54,2390.4,9,625,3,219,2,126.6,1,336.7,0,0,0,0,0,0
VOLUSIA,1,3.9,0,0,25,89.7,"1,730",2714.4,376,1314.5,140,555.2,71,267.4,61,1002,41,55.5,9,12.5,5,98.7
WAKULLA,0,0,0,0,1,52.8,111,2755,16,727.3,7,375.3,2,96.2,0,0,1,19.3,0,0,0,0
WALTON,0,0,0,0,4,130.8,120,1809.7,16,467.2,9,279.5,4,112.4,5,655.3,5,53,0,0,0,0
WASHINGTON,0,0,0,0,2,126.7,63,1757.3,10,508.9,6,344.8,2,117.6,0,0,1,27.2,0,0,0,0
