County Reporting,Date of Interview,Name of Employer,# employees at work place,Size Category          Small(0-50)           Large (50+),# of tobacco users at work place,Does employer hire tobacco users?             --yes or no,"Does employer provide health insurance?  yes or no?  If no, proceed to column Y.",Please select type of insurance coverage:  self-insured or fully-insured,Insurance Carrier,"Please select one employer sector: government, healthcare, or business (including private or non-profit)",Any tobacco cessation coverage?,Patch NRT OTC Covered?                     -- Yes or No,Gum NRT OTC Covered?                      -- Yes or No,Lozenge NRT OTC Covered?                    -- yes or no,Covered OTC only?,Inhaler NRT RX Covered?                    -- yes or no,Nose Spray RX Covered?                    -- yes or no,Bupropion RX  Covered?                   -- yes or no,Varenicline RX Covered?                    -- yes or no,Covered RX only?,Covered both OTC and RX?,Individual Counseling Covered?                   -- yes or no,Phone Counseling Covered?                    -- yes or no,Group Counseling Covered?                      -- yes or no,Web Based Counseling Covered?    -- yes or no,Covered some types of counseling?,Covered all types of counseling?,Covers at least 2 Quit Attempts provided per year                  -- yes or no,Are a combination of both cessation medication and counseling covered?,"Any barriers to coverage, such as counseling before medications or    co-pays?             --yes or no","Extent of TFG Policy Coverage -- 100% SFG, 100% TFG, SFIW, or SFIWO     ",E-cigs included in policy as restricted yes or no,Silver FTCA Medication Criteria Met,Gold FTCA Medication Criteria Met,Baseline SOC      BENEFIT,Baseline SOC           TFG Policy,Baseline SOC            Promote Encourage Provide,BaselineWas a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-1        FY(13-14) SOC      BENEFIT,Q-1        FY(13-14) SOC      TFG Policy,Q-1        FY(13-14) SOC         Promote Encourage Provide,Q-1        Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-2        FY(13-14) SOC      BENEFIT,Q-2        FY(13-14) SOC      TFG Policy,Q-2        FY(13-14) SOC         Promote Encourage Provide,Q-2      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-3        FY(13-14) SOC      BENEFIT,Q-3        FY(13-14) SOC      TFG Policy,Q-3        FY(13-14) SOC         Promote Encourage Provide,Q-3      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-4        FY(13-14) SOC      BENEFIT,Q-4        FY(13-14) SOC      TFG Policy,Q-4        FY(13-14) SOC         Promote Encourage Provide,Q-4      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,"Briefly describe any progress made with this employer from baseline interview.                  (For example, has an employer strengthened a campus policy, instituted a no-hire policy,   increased benefit coverage, or made a decision to do so?  Have you sent this employer emails or information newsletters to maintain regular communication?  Have you spoken by phone or face-fo-face?)","Briefly describe any plans, opportunities or potential strategies to engage this employer in the coming quarter to move them from one stage of change to another."
Alachua,9/21/2012,Alachua CHD,185,2,45,99,1,99,12,1,1,99,99,99,77,99,99,99,99,77,77,99,1,99,1,1,77,2,77,77,2,99,77,77,2,1,1,No,2,3,2,No,2,3,3,No,2,3,4,No,1,2,4,Yes,The Alachua County Health Department (ACHD) is awaiting smoke-free sig88ge to be installed on campus property. Their existing policy has been strengthened to move smoking 50 ft. from buildings and to desig88ted smoking areas. ,"With the purchase and install of sig88ge at the ACHD approaching, the Tobacco Free Alachua team will have the opportunity to work closely with ACHD leadership and staff to provide cessation support for employees who want to quit tobacco. "
Alachua,11/2/2012,Life South,780,2,99,99,1,99,1,2,1,99,99,99,77,99,99,99,99,77,77,99,1,99,1,1,77,2,77,1,1,99,77,77,2,5,4,No,2,5,5,No,2,5,5,No,2,5,5,No,1,5,5,Yes,None. ,None. 
Alachua,9/25/2012,North Florida Retirement Village,340,2,20,99,1,99,11,2,1,99,99,99,77,99,99,99,99,77,77,1,99,99,99,1,77,2,77,1,1,99,77,77,2,5,2,No,2,5,2,No,2,5,2,No,2,5,2,No,1,5,2,No,None. ,None. 
Alachua,11/16/2012,Cox Comunicatons,200,2,50,99,1,99,2,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,2,99,77,77,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,1,1,1,No,None. ,None. 
Alachua,9/27/2012,Meridian Behavioral Healthcare,522,2,99,99,1,99,1,2,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,77,2,99,77,77,2,5,4,No,2,5,4,No,1,5,4,No,1,5,4,No,1,5,4,No,None. ,None. 
Alachua,11/15/2012,Santa Fe College,99,99,99,99,99,99,99,99,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,2,99,77,77,2,5,4,No,2,5,4,No,1,5,4,No,1,5,4,No,1,2,4,No,None. ,None.
Alachua,3/27/2013,AvMed Health Plans,790,2,480,99,1,99,3,2,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,1,99,77,77,1,5,4,No,2,5,4,No,1,5,4,No,1,5,4,No,1,5,4,No,None. ,Tobacco Free Alachua will continue to remain in touch with AvMed being that they are a local organizatio88l partner. 
Alachua,1/11/2013,"Exatech, Inc. ",99,99,99,99,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,77,2,99,77,77,2,1,2,No,2,1,2,No,1,1,2,No,1,1,2,No,1,1,2,No,None. ,None.
Alachua,2/11/2013,Infinite Energy ,300,2,99,99,1,99,1,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,1,99,77,77,2,1,1,No,2,1,1,No,2,2,2,Yes,1,1,1,No,1,1,2,Yes,"During quarter 4, HR representatives with Infinite Energy requested contact informaiton for Suwannee River AHEC and information about the Tobacco Free Florida 3 Ways to Quit resources. Alachua grantees will check-in with Infinite Energy at the beginning of the new fiscal year to inquire about any progress on their tobacco policy.  ",None. 
Alachua,6/18/2013,Fracture,99,99,99,99,99,99,99,3,77,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,2,77,1,77,99,77,77,1,1,2,No,1,1,2,No,1,1,2,No,1,1,1,No,1,1,2,No,None. ,None.
